name,logo_url,zoho_account_id,domain,additional_verified_domains,training_fund_balance,program_ticket_balances,purchase_order_enabled,contacts_synced_at,last_synced,id,created_date,updated_date,created_by_id,created_by,is_sample
The University of Sheffield,,883813000001549162,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-06T14:38:32.711Z,2025-11-06T14:38:24.869Z,690b5273a16cc2126bfd9f6a,2025-11-05T13:34:43.391000,2025-11-06T14:38:32.847000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Durham University,,883813000001538143,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:41:58.061Z,2025-11-05T13:42:06.741Z,690b53b6c2b25d5599fdbc6a,2025-11-05T13:40:06.146000,2025-11-05T13:42:06.914000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
"Queen Mary, University of London",,883813000001515159,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:43:46.222Z,2025-11-05T13:43:54.494Z,690b546465fdd40356adf1c8,2025-11-05T13:43:00.924000,2025-11-05T13:43:54.637000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Dundee,,883813000001535215,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:45:35.000Z,2025-11-05T13:45:59.151Z,690b54d64c41b9e609c6dd95,2025-11-05T13:44:54.178000,2025-11-05T13:45:59.355000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Nottingham,,883813000001546221,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:48:19.753Z,2025-11-05T13:48:27.709Z,690b556e09658401214ff6cb,2025-11-05T13:47:26.736000,2025-11-05T13:48:27.917000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Plymouth,,883813000001498147,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:52:17.854Z,2025-11-05T13:52:30.121Z,690b55e0b178553818cc4e87,2025-11-05T13:49:20.697000,2025-11-05T13:52:30.667000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of St Andrews,,883813000001542184,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T13:56:25.121Z,2025-11-05T13:56:33.509Z,690b57610dbc0fefcfde8ef8,2025-11-05T13:55:45.798000,2025-11-05T13:56:33.626000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
London School of Economics and Political Science,,883813000001534170,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-05T15:14:50.503Z,2025-11-07T13:41:45.419Z,690b68f7a3eb170e31e56f8e,2025-11-05T15:10:47.197000,2025-11-07T13:41:45.637000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Glasgow Caledonian University,,883813000001500146,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-12T15:39:37.437Z,2025-11-12T15:40:44.579Z,690c76add5f56780d0727fd0,2025-11-06T10:21:33.495000,2025-11-12T15:40:44.688000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
The Open University,,883813000001505160,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-19T10:52:57.586Z,2025-11-25T10:18:20.609Z,690ca3dbfb92cae30998249c,2025-11-06T13:34:19.060000,2025-11-25T10:18:20.734000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
The University of Edinburgh,,883813000001494193,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-10T09:55:53.380Z,2025-11-10T09:55:06.467Z,690cc10ff3b81d65b8629872,2025-11-06T15:38:55.053000,2025-11-10T09:55:53.489000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Southampton,,883813000001494178,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T13:25:57.502Z,2025-11-25T13:26:01.738Z,6911ee03ff118940f12e8fb8,2025-11-10T13:52:03.613000,2025-11-25T13:26:01.872000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Bath,,883813000001501219,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-18T09:15:54.131Z,2025-11-18T09:16:10.739Z,691201aa049a821578907dc8,2025-11-10T15:15:54.040000,2025-11-18T09:16:10.859000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Northampton,,883813000001551141,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T10:59:11.656Z,2025-11-24T10:59:17.592Z,6912fe101a3e7f8b57ab9d50,2025-11-11T09:12:48.433000,2025-11-24T10:59:17.726000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Leeds,,883813000001550152,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T11:58:10.282Z,2025-11-24T11:58:20.842Z,6912ff74b644572b35254aa7,2025-11-11T09:18:44.442000,2025-11-24T11:58:20.962000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Buckinghamshire New University,,883813000001531160,,"[]",0,"{}",false,,2025-11-11T12:11:50.089Z,6913179657882bb37444d7dd,2025-11-11T11:01:42.088000,2025-11-11T12:11:50.220000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Gloucestershire,,883813000001520185,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-11T13:13:41.787Z,2025-11-11T13:14:37.990Z,691334e758512761c86f58d7,2025-11-11T13:06:47.523000,2025-11-11T13:14:38.165000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Hertfordshire,,883813000001496154,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-12T11:44:40.379Z,2025-11-12T11:44:53.905Z,691340e9af38a0b1101e0891,2025-11-11T13:58:01.553000,2025-11-12T11:44:54.068000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Tester Organisation,,883813000001649065,,"[]",0,"{}",false,,2025-11-11T15:22:19.241Z,691350e0df492a433e3c8a80,2025-11-11T15:06:08.299000,2025-11-11T15:22:19.356000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of East Anglia,,883813000001525179,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-12T09:09:53.473Z,2025-11-12T09:10:04.606Z,691360d8ffde0d4cd7df1be5,2025-11-11T16:14:16.185000,2025-11-12T09:10:04.707000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Bradford,,883813000001489319,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-13T10:43:00.338Z,2025-11-13T10:42:44.051Z,6915b4c4fd9f870121aa6515,2025-11-13T10:36:52.944000,2025-11-13T10:43:00.522000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
London South Bank University,,883813000001527164,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-14T10:17:10.893Z,2025-11-15T07:37:44.746Z,6915b4fc2e6f73087cf49310,2025-11-13T10:37:48.716000,2025-11-15T07:37:44.913000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Arden University,,883813000001530145,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-17T12:25:05.085Z,2025-11-17T12:25:12.956Z,6915ea66dd3a44f95b528518,2025-11-13T14:25:42.023000,2025-11-17T12:25:13.087000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
"SOAS, University of London",,883813000001548139,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-14T10:18:48.409Z,2025-11-14T10:19:46.518Z,6915f132cb04fe28717b3f72,2025-11-13T14:54:42.569000,2025-11-14T10:19:46.664000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Warwick,,883813000001543158,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T11:53:25.890Z,2025-11-25T18:15:36.827Z,6916099a465263e455f5eb4a,2025-11-13T16:38:50.893000,2025-11-25T18:15:37.015000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
York St John University,,883813000001542189,,"[]",0,"{""Unpacked Series"":1}",false,2025-11-13T20:32:19.023Z,2025-11-13T20:32:42.789Z,69160ce9f280dc22020154e4,2025-11-13T16:52:57.303000,2025-11-13T20:32:42.953000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Sussex,,883813000001494183,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-18T16:07:19.426Z,2025-11-18T16:07:38.398Z,691727ee7b130e315f07ba0e,2025-11-14T13:00:30.912000,2025-11-18T16:07:39.901000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Maynooth University,,883813000001506128,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T12:05:02.915Z,2025-11-24T12:05:24.558Z,691ae652fdc11af88c357829,2025-11-17T09:09:38.070000,2025-11-24T12:05:24.738000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Lancashire,,883813000001540172,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T09:05:03.375Z,2025-11-25T09:11:43.640Z,691c60a94ed027098df6f8d5,2025-11-18T12:03:53.866000,2025-11-25T09:11:43.785000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Nottingham Trent University,,883813000001496149,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-19T10:13:05.689Z,2025-11-19T10:13:23.143Z,691d96d57b6aee9e986a40b0,2025-11-19T10:07:17.540000,2025-11-19T10:13:23.320000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Wrexham University,,883813000001549157,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T16:12:52.147Z,2025-11-24T16:14:10.506Z,69204f19c427060433c95539,2025-11-21T11:38:01.676000,2025-11-24T16:14:10.640000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Cambridge,,883813000001505141,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T15:45:16.056Z,2025-11-24T15:45:23.342Z,6920d0af0ee1640b32e4995b,2025-11-21T20:50:55.382000,2025-11-24T15:45:23.541000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Sheffield Hallam University,,883813000001521150,,"[]",0,"{}",false,,2025-11-25T14:45:12.862Z,69242216c029f387b8ba2937,2025-11-24T09:15:02.627000,2025-11-25T14:45:12.983000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Huddersfield,,883813000001498142,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T14:00:37.308Z,2025-11-25T14:01:01.475Z,692429de10c55be020790027,2025-11-24T09:48:14.907000,2025-11-25T14:01:01.624000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Bristol,,883813000001520175,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T11:11:11.827Z,2025-11-25T09:36:38.592Z,692435c4042c2ce781cd03b2,2025-11-24T10:39:00.074000,2025-11-25T09:36:39.603000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Bournemouth University,,883813000001524236,,"[]",0,"{}",false,,2025-11-25T19:07:19.363Z,692470ec0d4695e632af66bb,2025-11-24T14:51:24.942000,2025-11-25T19:07:19.486000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Galway,,883813000001550147,,"[]",0,"{}",false,,2025-11-24T15:36:00.299Z,69247b6091f33b455ad99f0e,2025-11-24T15:36:00.419000,2025-11-24T15:36:00.419000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Queen's University of Belfast,,883813000001486199,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T11:51:30.289Z,2025-11-25T11:51:36.177Z,692481e426ed8d4b2e40b99d,2025-11-24T16:03:48.951000,2025-11-25T11:51:36.290000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of the Arts London,,883813000001490204,,"[]",0,"{}",false,,2025-11-25T17:03:28.386Z,69248a6c0413ea7cc5dcbda4,2025-11-24T16:40:12.546000,2025-11-25T17:03:28.600000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of East London,,883813000001501231,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-24T18:15:45.119Z,2025-11-25T09:26:11.921Z,692491a1ef173247d0e86422,2025-11-24T17:10:57.350000,2025-11-25T09:26:12.096000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
Liverpool John Moores University,,883813000001554121,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T11:48:10.713Z,2025-11-25T11:48:18.642Z,69258f90d42bd901be1faccd,2025-11-25T11:14:24.791000,2025-11-25T11:48:18.842000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of York,,883813000001499167,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T13:37:40.728Z,2025-11-25T13:38:03.864Z,6925aa990880ef44fc64e33d,2025-11-25T13:09:45.594000,2025-11-25T13:38:04.188000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
University of Sunderland,,883813000001535225,,"[]",0,"{""Unpacked Series"":0}",false,2025-11-25T15:55:37.680Z,2025-11-25T15:55:59.735Z,6925c7fca2864499861b2f30,2025-11-25T15:15:08.734000,2025-11-25T15:55:59.941000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false
