setting_key,setting_value,description,id,created_date,updated_date,created_by_id,created_by,is_sample
article_show_author_email,true,Show author email in author bio,691f831a80b98259096e5eab,2025-11-20T21:07:38.460000,2025-11-20T21:27:56.285000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_view_count,false,Show view count on article pages,691f85141d7e4d08d4835888,2025-11-20T21:16:04.585000,2025-11-20T21:16:04.585000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_bio,false,Show author bio on article pages,691f851dc607b058a15007e8,2025-11-20T21:16:13.284000,2025-11-20T21:16:13.284000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_awards_label,false,Show awards label in author bio,691f851d3c31ec201776ac76,2025-11-20T21:16:13.596000,2025-11-20T21:16:13.596000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_about_author_label,false,Show about the author label in author bio,691f851e07ae40fb7ec193d8,2025-11-20T21:16:14.131000,2025-11-20T21:16:14.131000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_organization,true,Show author organization in author bio,691f851e3bb582e3ed821e3c,2025-11-20T21:16:14.386000,2025-11-20T21:16:14.386000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_email,true,Show author email in author bio,691f851e2a9b2e7acf78533b,2025-11-20T21:16:14.651000,2025-11-20T21:16:14.651000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_view_count,true,Show view count on article pages,691f85e99866006620c60c22,2025-11-20T21:19:37.376000,2025-11-20T21:19:37.376000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_bio,true,Show author bio on article pages,691f85e9249ba233ac29fd14,2025-11-20T21:19:37.620000,2025-11-20T21:19:37.620000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_awards_label,true,Show awards label in author bio,691f85e99fe9e1c6723c908b,2025-11-20T21:19:37.969000,2025-11-20T21:19:37.969000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_about_author_label,true,Show about the author label in author bio,691f85ea2a9b2e7acf7853e4,2025-11-20T21:19:38.222000,2025-11-20T21:19:38.222000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_organization,true,Show author organization in author bio,691f85ea75518da3dd7aa16e,2025-11-20T21:19:38.472000,2025-11-20T21:19:38.472000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_email,true,Show author email in author bio,691f85ea3c1b436d77abc33c,2025-11-20T21:19:38.819000,2025-11-20T21:19:38.819000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_author_photo,true,Show author profile photo in author bio,691f85eb15e317a68f71e188,2025-11-20T21:19:39.104000,2025-11-20T21:27:56.823000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_thumbs_up,true,Show thumbs up button on articles,691f87ddbcc2c4aaacc0c200,2025-11-20T21:27:57.129000,2025-11-20T21:27:57.129000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_show_thumbs_down,false,Show thumbs down button on articles,691f87dd634db36573a48d40,2025-11-20T21:27:57.498000,2025-11-20T21:27:57.498000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
org_directory_show_logo,true,Show organization logo on directory cards,691f8f64f4c5c6f4eee95b72,2025-11-20T22:00:04.141000,2025-11-23T17:32:02.800000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
org_directory_show_domains,false,Show organization domains on directory cards,691f8f64431a3cd08bbb645d,2025-11-20T22:00:04.389000,2025-11-23T17:32:03.680000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
org_directory_show_member_count,false,Show member count on directory cards,691f8f644f651ab74d470be7,2025-11-20T22:00:04.678000,2025-11-23T17:32:04.588000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
social_icons_config,"{""linkedin"":{""enabled"":true,""url"":""https://testing.com.tesing""},""twitter"":{""enabled"":false,""url"":""""},""facebook"":{""enabled"":false,""url"":""""},""instagram"":{""enabled"":true,""url"":""https://testing.com.tesing""},""youtube"":{""enabled"":true,""url"":""https://testing.com.tesing""}}",Social media icon URLs and visibility for public header,691f95d4263b0d139612253c,2025-11-20T22:27:32.825000,2025-11-20T22:32:14.610000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
wall_of_fame_photo_size,large,"Profile photo size for Wall of Fame display (small, medium, large)",691f97efe30d708ad180aa7a,2025-11-20T22:36:31.997000,2025-11-20T22:36:31.997000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
news_show_author,false,Whether to show author on news cards and articles,6922b69a3b3064a102d8c48b,2025-11-23T07:24:10.992000,2025-11-23T07:24:10.992000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
news_show_author,false,Whether to show author on news cards and articles,6922b6a6dbafd8b090b7e059,2025-11-23T07:24:22.775000,2025-11-23T07:24:22.775000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
article_display_name,Blogs,Custom display name for articles section,6922c280ddc08c1b267dfce8,2025-11-23T08:14:56.559000,2025-11-23T10:46:30.797000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
org_directory_excluded_orgs,"[""68f7999461e69321254e1f13""]",List of organization IDs excluded from the directory,6923451529f63f9ff6a1ea03,2025-11-23T17:32:05.072000,2025-11-23T17:32:05.072000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
news_show_author,false,Whether to show author on news cards and articles,6923fc18a3333d67626ced5f,2025-11-24T06:32:56.251000,2025-11-24T06:32:56.251000,anonymous,anonymous,false
news_show_author,false,Whether to show author on news cards and articles,692412a2241df1ea8ec74f15,2025-11-24T08:09:06.464000,2025-11-24T08:09:06.464000,anonymous,anonymous,false
news_show_author,false,Whether to show author on news cards and articles,6925f6a25ad353374de0f956,2025-11-25T18:34:10.178000,2025-11-25T18:34:10.178000,anonymous,anonymous,false
